X,Z,NAME,ICON,GROUP,URL
204,-63,ルーナの地下室,normal,normal,
136,-441,テトリスモニュメント（トリプルダガー）,normal,normal,
78,-641,金トラップ『羅生門』,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%C6%C5%C4%A4%DA%A4%B3%A4%E9%A1%DAMinecraft%A1%DB#Rashomon
39,-536,ぺこダム,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%C6%C5%C4%A4%DA%A4%B3%A4%E9%A1%DAMinecraft%A1%DB#Pekodam
236,-452,アイスクリーム屋,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#TakoyakiIcecreamShop
246,-451,たこ焼き屋,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#TakoyakiIcecreamShop
646,-132,ころねの新居,normal,normal,https://seesaawiki.jp/hololivetv/d/%D8%FC%BF%C0%A4%B3%A4%ED%A4%CD%A1%DAMinecraft%A1%DB#KoroneHotel
289,-494,フレア邸,normal,normal,https://seesaawiki.jp/hololivetv/d/%C9%D4%C3%CE%B2%D0%A5%D5%A5%EC%A5%A2%A1%DAMinecraft%A1%DB#FlareMansion
272,-190,フレアのガチャ屋台,normal,normal,
187,-149,PPT橋,normal,normal,
229,-638,ケーキトラップハウス,normal,normal,
89,-511,『第3のダンジョン The sorrow』,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%C6%C5%C4%A4%DA%A4%B3%A4%E9%A1%DAMinecraft%A1%DB#thesorrow
556,-200,あん肝ハウス（そらの家）,normal,normal,
304,-387,るしあの監禁施設（ふぁんおっと）,normal,normal,
134,-420,ハロウィンコースター,normal,normal,https://seesaawiki.jp/hololivetv/d/%CC%AB%A4%A2%A4%AF%A4%A2%A1%DAMinecraft%A1%DB#aquaHalloweenCoaster
154,-87,月の館,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#tsukinoyakata
208,-38,ロボ子の養蜂場,normal,normal,
67,-506,★5兎田ホテル,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#5starUsadaHotel
136,-394,船長の本屋,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#MarineBookstore
360,-526,空中牛丼,normal,normal,https://seesaawiki.jp/hololivetv/d/%C7%F2%B6%E4%A5%CE%A5%A8%A5%EB%A1%DAMinecraft%A1%DB#AerialGyudon
62,-415,旧AKUKIN建設本社,normal,normal,https://seesaawiki.jp/hololivetv/d/%CC%AB%A4%A2%A4%AF%A4%A2%A1%DAMinecraft%A1%DB#formerAkukinHQ
198,-655,脱衣所＆トラップ（スバ温泉）,normal,normal,
124,-552,ぺこらハウス,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%C6%C5%C4%A4%DA%A4%B3%A4%E9%A1%DAMinecraft%A1%DB#PekoraHouse
250,-491,噴水,normal,normal,
220,-265,エレベータートラップ,normal,normal,
93,-418,ポーション自販機,normal,normal,https://seesaawiki.jp/hololivetv/d/%CC%AB%A4%A2%A4%AF%A4%A2%A1%DAMinecraft%A1%DB#aquapotion
647,-114,おかゆの部屋,normal,normal,https://seesaawiki.jp/hololivetv/d/%C7%AD%CB%F4%A4%AA%A4%AB%A4%E6%A1%DAMinecraft%A1%DB#okayuroom
473,-527,麺屋ぼたん 会場前店（2号店）,normal,normal,https://seesaawiki.jp/hololivetv/d/%BB%E2%C7%F2%A4%DC%A4%BF%A4%F3%A1%DAMinecraft%A1%DB#MenyaBotan2nd
11,-599,シュバンゲリオン,normal,normal,
259,-420,ふれあい公園,normal,normal,https://seesaawiki.jp/hololivetv/d/%C9%D4%C3%CE%B2%D0%A5%D5%A5%EC%A5%A2%A1%DAMinecraft%A1%DB#FlarePark
88,-480,兎田トレードセンター,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%C6%C5%C4%A4%DA%A4%B3%A4%E9%A1%DAMinecraft%A1%DB#UsadaTradeCenter
38,-514,みこチャア,normal,normal,
447,-527,わため寿司 麺屋ぼたん前店（1号店）,normal,normal,
237,-347,AKUKINステーション,normal,normal,https://seesaawiki.jp/hololivetv/d/%CC%AB%A4%A2%A4%AF%A4%A2%A1%DAMinecraft%A1%DB#AquaStation
-17,-584,キング・オブ・ハーチャマ,normal,normal,
223,-298,焼き芋屋トラック,normal,normal,
-423,-763,あくあ地下帝国,normal,normal,
466,-623,ホロライブ運動会会場,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#AthleticFestivalSite
182,-542,ししろフーズ社員寮,normal,normal,https://seesaawiki.jp/hololivetv/d/%BB%E2%C7%F2%A4%DC%A4%BF%A4%F3%A1%DAMinecraft%A1%DB#ShishiroFoodsDormitory
11,-409,ココの家,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%CD%C0%B8%A5%B3%A5%B3%A1%DAMinecraft%A1%DB#Coco2ndhouse
95,-433,焼き鳥工房,normal,normal,https://seesaawiki.jp/hololivetv/d/%CC%AB%A4%A2%A4%AF%A4%A2%A1%DAMinecraft%A1%DB#AquaAutoGrilledchicken
194,-594,スナイパーぼたんくす,normal,normal,https://seesaawiki.jp/hololivetv/d/%BB%E2%C7%F2%A4%DC%A4%BF%A4%F3%A1%DAMinecraft%A1%DB#sniperbotanx
128,-522,兎田建設事務所,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#UsakenHQ
87,-595,ポルカサーカステント,normal,normal,
11,-632,自動炭焼き機『炭治郎』,normal,normal,
530,532,ドラウンドトラップタワー,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%B7%B2%BB%A4%AB%A4%CA%A4%BF%A1%DAMinecraft%A1%DB#DrownedTrap
240,-701,クリスマスツリー,normal,normal,
197,-487,まがまがハウス,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#MagamagaHouse
163,-446,わためのお菓子の家,normal,normal,
173,-487,ラミィのケーキ屋,normal,normal,
472,-264,メルの新しいお家,normal,normal,https://seesaawiki.jp/hololivetv/d/%CC%EB%B6%F5%A5%E1%A5%EB%A1%DAMinecraft%A1%DB#Mel2ndHouse
305,-535,良い子の農場,normal,normal,
8,-361,アイアンゴーレムトラップ,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%B7%B2%BB%A4%AB%A4%CA%A4%BF%A1%DAMinecraft%A1%DB#GolemTrapKanata
101,-250,麺屋ぼたん クレイジー店,normal,normal,https://seesaawiki.jp/hololivetv/d/%BB%E2%C7%F2%A4%DC%A4%BF%A4%F3%A1%DAMinecraft%A1%DB#MenyaBotan3rd
-272,-536,AKUKIN建設本社,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#AKUKINkenHQ
-58,-606,大空建築オフィス,normal,normal,
633,-236,つのまきじゃんけん施設,normal,normal,
303,-334,ろーぼ製薬,normal,normal,https://seesaawiki.jp/hololivetv/d/%A5%ED%A5%DC%BB%D2%A4%B5%A4%F3%A1%DAMinecraft%A1%DB#RoboDrugShop
369,-555,ノエルの和風家屋,normal,normal,https://seesaawiki.jp/hololivetv/d/%C7%F2%B6%E4%A5%CE%A5%A8%A5%EB%A1%DAMinecraft%A1%DB#NoelJpStyleHouse
-66,-364,かなた城,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%B7%B2%BB%A4%AB%A4%CA%A4%BF%A1%DAMinecraft%A1%DB#KanataCastle
369,-522,ノエルの牛丼屋,normal,normal,https://seesaawiki.jp/hololivetv/d/%C7%F2%B6%E4%A5%CE%A5%A8%A5%EB%A1%DAMinecraft%A1%DB#GyudonShop
-2,-638,ホソイヌ観覧車,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#HosoinuFerriswheel
244,-639,サトウキビ自動収穫機,normal,normal,https://seesaawiki.jp/hololivetv/d/%BD%E1%B1%A9%A4%EB%A4%B7%A4%A2%A1%DAMinecraft%A1%DB#content_2_3
//256,-142,炎の矢雨装置,nomal,normal,https://seesaawiki.jp/hololivetv/d/%C5%C6%C5%C4%A4%DA%A4%B3%A4%E9%A1%DAMinecraft%A1%DB#FireArrowCatapult
467,-769,バベちゃまの塔,normal,normal,
206,-513,麺屋ぼたん看板,normal,normal,
610,-212,黒い羊,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#Blacksheep
75,-712,すいせいの家（新居）,normal,normal,
579,-458,バグ牧場,normal,normal,https://seesaawiki.jp/hololivetv/d/%B2%C6%BF%A7%A4%DE%A4%C4%A4%EA%A1%DAMinecraft%A1%DB#bugcattlefarm
